name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,pyston,1,14,743,1.916,169100,0,74% 93% 73% 71%,0.622
binarytrees,pyston,1,14,743,1.958,172728,0,68% 88% 71% 67%,0.723
binarytrees,pyston,1,14,743,1.945,169224,0,69% 67% 94% 70%,0.653
binarytrees,python-dev,1,14,706,3.502,54252,0,91% 86% 90% 84%,1.170
binarytrees,python-dev,1,14,706,3.556,57800,0,94% 90% 86% 96%,1.151
binarytrees,python-dev,1,14,706,3.914,54252,0,94% 90% 92% 94%,1.752
binarytrees,python3,1,14,706,3.507,53164,0,92% 86% 87% 88%,1.010
binarytrees,python3,1,14,706,3.498,55800,0,88% 83% 87% 89%,1.025
binarytrees,python3,1,14,706,3.593,56520,0,87% 89% 92% 84%,1.038
binarytrees,python-dev,7,14,741,3.162,54360,0,89% 85% 94% 85%,0.930
binarytrees,python-dev,7,14,741,3.143,55884,0,89% 86% 84% 91%,0.926
binarytrees,python-dev,7,14,741,3.173,57616,0,89% 87% 88% 88%,0.926
binarytrees,nuitka,6,14,743,3.238,64228,0,96% 96% 92% 91%,1.594
binarytrees,nuitka,6,14,743,3.259,67512,0,94% 99% 91% 94%,1.424
binarytrees,nuitka,6,14,743,3.195,66084,0,89% 75% 85% 89%,0.979
binarytrees,nuitka,1,14,706,2.777,65080,0,81% 78% 88% 93%,0.853
binarytrees,nuitka,1,14,706,2.828,64056,0,86% 80% 84% 90%,0.857
binarytrees,nuitka,1,14,706,2.804,62312,0,93% 79% 84% 76%,0.920
binarytrees,python,1,14,743,3.850,60452,0,79% 87% 86% 80%,1.196
binarytrees,python,1,14,743,3.816,59484,0,81% 91% 82% 80%,1.185
binarytrees,python,1,14,743,3.767,58912,0,91% 82% 83% 88%,1.190
binarytrees,pypy3,1,14,706,2.273,90624,0,47% 75% 42% 37%,1.163
binarytrees,pypy3,1,14,706,2.336,90260,0,50% 78% 37% 34%,1.217
binarytrees,pypy3,1,14,706,2.301,90992,0,41% 39% 44% 76%,1.205
binarytrees,nuitka,7,14,741,2.481,59364,0,91% 80% 80% 80%,0.799
binarytrees,nuitka,7,14,741,2.590,60604,0,91% 81% 82% 85%,0.786
binarytrees,nuitka,7,14,741,2.561,59984,0,82% 80% 81% 90%,0.797
binarytrees,numba,1,14,702,3.931,73772,0,85% 91% 83% 83%,1.157
binarytrees,numba,1,14,702,4.003,63976,0,77% 78% 91% 79%,1.238
binarytrees,numba,1,14,702,3.986,64276,0,78% 78% 79% 90%,1.226
binarytrees,pypy3,6,14,743,2.495,90040,0,52% 54% 64% 48%,1.584
binarytrees,pypy3,6,14,743,2.410,90080,0,46% 80% 44% 35%,1.230
binarytrees,pypy3,6,14,743,2.364,90220,0,44% 79% 47% 39%,1.173
binarytrees,python3,6,14,743,4.013,62500,0,97% 82% 82% 81%,1.205
binarytrees,python3,6,14,743,3.913,62908,0,89% 89% 90% 88%,1.118
binarytrees,python3,6,14,743,3.924,56816,0,92% 86% 87% 91%,1.123
binarytrees,python3,7,14,741,3.197,57316,0,89% 84% 81% 88%,0.964
binarytrees,python3,7,14,741,3.306,53660,0,87% 80% 83% 93%,0.987
binarytrees,python3,7,14,741,3.203,58724,0,86% 91% 86% 83%,0.955
binarytrees,pypy,1,14,743,1.972,88304,0,50% 50% 44% 53%,1.199
binarytrees,pypy,1,14,743,1.859,88772,0,80% 47% 41% 47%,0.906
binarytrees,pypy,1,14,743,1.828,89104,0,48% 45% 79% 46%,0.869
binarytrees,pypy3,7,14,741,2.042,138804,0,42% 42% 76% 39%,1.050
binarytrees,pypy3,7,14,741,2.046,137772,0,40% 42% 45% 78%,1.051
binarytrees,pypy3,7,14,741,2.046,138904,0,40% 76% 38% 44%,1.082
chameneosredux,nuitka,2,6000000,1191,347.344,10056,0,49% 42% 48% 47%,175.596
chameneosredux,python3,2,6000000,1191,353.074,8916,0,46% 41% 48% 46%,176.300
chameneosredux,pypy,1,6000000,1192,176.538,74276,0,51% 40% 46% 47%,86.160
chameneosredux,pypy3,1,6000000,1191,195.469,67964,0,50% 36% 43% 41%,101.361
chameneosredux,nuitka,1,6000000,1191,350.466,10112,0,48% 41% 48% 45%,177.864
chameneosredux,pypy3,2,6000000,1191,197.478,68312,0,52% 35% 42% 41%,102.711
chameneosredux,python-dev,1,6000000,1191,307.768,7908,0,50% 46% 46% 45%,154.686
chameneosredux,python,1,6000000,1192,152.780,7100,0,44% 45% 42% 39%,83.773
chameneosredux,python-dev,2,6000000,1191,305.549,7840,0,49% 45% 46% 46%,153.757
chameneosredux,micropython,1,6000000,1191,126.907,4564,0,54% 57% 43% 53%,58.803
chameneosredux,cython,1,6000000,1203,338.883,8956,0,51% 44% 51% 48%,167.671
chameneosredux,python3,1,6000000,1191,353.288,8956,0,48% 40% 47% 47%,175.795
chameneosredux,pyston,1,6000000,1192,106.639,66884,0,31% 34% 26% 36%,58.296
chameneosredux,pyston,1,6000000,1192,105.826,70824,0,29% 35% 29% 36%,57.430
chameneosredux,pyston,1,6000000,1192,105.627,68732,0,32% 34% 27% 36%,56.976
chameneosredux,micropython,2,6000000,1191,127.970,4664,0,50% 55% 48% 53%,59.488
fannkuchredux,pypy3,3,10,894,4.312,80196,0,68% 92% 62% 65%,1.548
fannkuchredux,pypy3,3,10,894,4.363,80616,0,66% 91% 61% 61%,1.619
